Replicas,- Tubeway Army
Mess,- Liars
Purple,- Baroness
Vespertine,- Bjork
Shaking the Habitual,- The Knife
End of Silence,- Rollins Band
My War,- Black Flag
You're a Woman I'm a Machine,- Death From Above 1979
The Money Store,- Death Grips
Get to Heaven,- Everything Everything
Dopethrone,- Electric Wizard
You're Dead!,- Flying Lotus
Vega Intl. Night School,- Neon Indian
R Plus Seven,- Oneohtrix Point Never
Brick Body Kids Still Daydream,- Open Mike Eagle
South of Heaven,- Slayer
Suicide,- Suicide
Orc,- Thee Oh Sees
Sweatbox Dynasty,- TOBACCO
Stranger,- Yung Lean
